,source,target
1172,Japan,Russia
1173,Japan,Russia
1174,Germany,Germany
1175,Germany,Japan
1176,Japan,Russia
1177,Japan,Russia
1178,Japan,Russia
1179,Japan,Russia
1180,Japan,Russia
1181,Japan,Russia
1182,France,Russia
1183,China,France
1184,China,India
1185,India,Pakistan
1186,Israel,Pakistan
1187,Israel,South Africa
1188,Israel,South Africa
1189,Japan,Russia
1190,France,Russia
1191,China,France
1192,China,India
1193,India,Pakistan
1194,Israel,Pakistan
1195,Israel,South Africa
1196,Israel,South Africa
1197,Israel,Libya
1198,Iran,Libya
1199,France,Russia
1200,China,France
1201,China,India
1202,India,Pakistan
1203,Israel,Pakistan
1204,Israel,South Africa
1205,Israel,South Africa
1206,Israel,Libya
1207,Iran,Libya
1208,France,Russia
1209,China,France
1210,China,India
1211,India,Pakistan
1212,Israel,Pakistan
1213,Israel,South Africa
1214,Israel,South Africa
1215,Israel,Libya
1216,Iran,Libya
1217,Iran,United States of America
1218,France,Russia
1219,China,France
1220,China,India
1221,India,Pakistan
1222,Israel,Pakistan
1223,Israel,South Africa
1224,Israel,South Africa
1225,Israel,Libya
1226,Iran,Libya
1227,Iran,United States of America
1228,Germany,United States of America
1229,France,Germany
1230,France,Russia
1231,China,France
1232,China,India
1233,India,Pakistan
1234,Israel,Pakistan
1235,Israel,South Africa
1236,Israel,South Africa
1237,Israel,Libya
1238,Iran,Libya
1239,Iran,United States of America
1240,Germany,United States of America
1241,France,Germany
1242,France,Russia
1243,Iran,Libya
1244,Iran,United States of America
1245,Germany,United States of America
1246,France,Germany
1247,France,Russia
1248,Japan,Russia
1249,Japan,United States of America
1250,Japan,United States of America
1251,Germany,Japan
1252,Germany,United States of America
1253,France,Germany
1254,France,Russia
1255,Japan,Russia
1256,Japan,United States of America
1257,Japan,United States of America
1258,Germany,Japan
1259,Germany,United States of America
1260,France,Germany
1261,France,Russia
1262,Japan,Russia
1263,Japan,United States of America
1264,Japan,United States of America
1265,Germany,Japan
1266,France,Germany
1267,France,Russia
1268,Japan,Russia
1269,Japan,United States of America
1270,Japan,United States of America
1271,Germany,Japan
1272,Japan,Russia
1273,Japan,United States of America
1274,Japan,United States of America
1275,Germany,Japan
1276,Germany,Papua New Guinea
1277,Japan,United States of America
1278,Japan,United States of America
1279,Germany,Japan
1280,Germany,Papua New Guinea
1281,India,Papua New Guinea
1282,India,Papua New Guinea
1283,United Kingdom,India
